47840,民主主義,みんしゅしゅぎ,NDC 913,新字新仮名,40,織田,作之助,おだ,さくのすけ,https://www.aozora.gr.jp/cards/000040/files/47840_txt_35785.zip,https://www.aozora.gr.jp/cards/000040/files/47840_36048.html,580
47839,報酬,ほうしゅう,NDC 913,新字新仮名,40,織田,作之助,おだ,さくのすけ,https://www.aozora.gr.jp/cards/000040/files/47839_txt_35777.zip,https://www.aozora.gr.jp/cards/000040/files/47839_36046.html,626
47835,実感,じっかん,NDC 913,新字新仮名,40,織田,作之助,おだ,さくのすけ,https://www.aozora.gr.jp/cards/000040/files/47835_txt_35778.zip,https://www.aozora.gr.jp/cards/000040/files/47835_36040.html,653
47842,薬局,やっきょく,NDC 913,新字新仮名,40,織田,作之助,おだ,さくのすけ,https://www.aozora.gr.jp/cards/000040/files/47842_txt_35793.zip,https://www.aozora.gr.jp/cards/000040/files/47842_36051.html,653
46729,約束,やくそく,NDC K913,新字新仮名,967,香倶土,三鳥,かぐつち,みどり,https://www.aozora.gr.jp/cards/000096/files/46729_txt_27659.zip,https://www.aozora.gr.jp/cards/000096/files/46729_27705.html,655
46729,約束,やくそく,NDC K913,新字新仮名,96,夢野,久作,ゆめの,きゅうさく,https://www.aozora.gr.jp/cards/000096/files/46729_txt_27659.zip,https://www.aozora.gr.jp/cards/000096/files/46729_27705.html,655
47832,経験派,けいけんは,NDC 913,新字新仮名,40,織田,作之助,おだ,さくのすけ,https://www.aozora.gr.jp/cards/000040/files/47832_ruby_35781.zip,https://www.aozora.gr.jp/cards/000040/files/47832_36039.html,679
52271,男の顔,おとこのかお,NDC 913,新字新仮名,154,田中,貢太郎,たなか,こうたろう,https://www.aozora.gr.jp/cards/000154/files/52271_ruby_47348.zip,https://www.aozora.gr.jp/cards/000154/files/52271_47768.html,688
45592,炭取り,すみとり,NDC 913,新字新仮名,154,田中,貢太郎,たなか,こうたろう,https://www.aozora.gr.jp/cards/000154/files/45592_ruby_41020.zip,https://www.aozora.gr.jp/cards/000154/files/45592_41073.html,703
46725,人形と狼,にんぎょうとおおかみ,NDC K913,新字新仮名,967,香倶土,三鳥,かぐつち,みどり,https://www.aozora.gr.jp/cards/000096/files/46725_ruby_27653.zip,https://www.aozora.gr.jp/cards/000096/files/46725_27699.html,710
