作品ID,作品名,作品名読み,分類番号,文字遣い種別,人物ID,姓,名,姓読み,名読み,テキストファイルURL,XHTML/HTMLファイルURL
000071,彼　第二,かれ　だいに,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/71_ruby_1569.zip,https://www.aozora.gr.jp/cards/000879/files/71_15180.html
000077,奇怪な再会,きかいなさいかい,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/77_ruby_944.zip,https://www.aozora.gr.jp/cards/000879/files/77_15181.html
000076,奇遇,きぐう,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/76_ruby_940.zip,https://www.aozora.gr.jp/cards/000879/files/76_15182.html
000080,煙管,きせる,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/80_ruby_753.zip,https://www.aozora.gr.jp/cards/000879/files/80_15183.html
000039,疑惑,ぎわく,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/39_ruby_881.zip,https://www.aozora.gr.jp/cards/000879/files/39_15184.html
000078,金将軍,きんしょうぐん,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/78_ruby_1138.zip,https://www.aozora.gr.jp/cards/000879/files/78_15185.html
000091,首が落ちた話,くびがおちたはなし,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/91_ruby_975.zip,https://www.aozora.gr.jp/cards/000879/files/91_15186.html
000092,蜘蛛の糸,くものいと,NDC K913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/92_ruby_164.zip,https://www.aozora.gr.jp/cards/000879/files/92_14545.html
000038,戯作三昧,げさくざんまい,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/38_ruby_3638.zip,https://www.aozora.gr.jp/cards/000879/files/38_14487.html
000075,袈裟と盛遠,けさともりとお,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/75_ruby_971.zip,https://www.aozora.gr.jp/cards/000879/files/75_15187.html
000036,玄鶴山房,げんかくさんぼう,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/36_ruby_627.zip,https://www.aozora.gr.jp/cards/000879/files/36_14975.html
