書誌ID	タイトル	副題	巻号	責任表示	出版者	出版年	ISBN	判型	ページ数	ジャンル1	ジャンル2	ジャンル3	ジャンル4	責任表示ID
BK_20299201	日本経済失敗の構造			ウイリアム・W.グライムス|著;太田タケシ|監訳;大和銀総合研究所|訳	東洋経済新報社	2002	4492393803	19cm	390	3 社会科学	332	3033		00884288;00217268;00277794
BK_20299214	家族力			山本一力|著	文藝春秋	2002	4163587802	18cm	222	9 文学	914	0095		00811656
BK_20299235	快老モタさんの｢群れ遊び｣のすすめ			斎藤茂太|著	佼成出版社	2002	4333019656	19cm	202	1 哲学	159	0095		00065254
BK_20299246	民族対立の世界地図		欧州/北南米/アフリカ篇	高崎通浩|著	中央公論新社	2002	4121500431	18cm	311	3 社会科学	316	1231		00158503
BK_20299282	最新汎用ロジック・デバイス規格表		2002年版	猪飼國夫，相田泰志，宮崎仁|編著	CQ出版	2002	4789844412	15×21cm	509	5 技術・工学	549	3055		00017641;00858867;00175793
BK_20299289	法人税の決算調整と申告の手引		平成13年版	加用俊栄|編	納税協会連合会;清文社(発売)	2001	4433200115	26cm	1942	3 社会科学	336	2034		00822466
BK_20299386	女の運命を動かす100の方法			浅野裕子|著	三笠書房	2002	4837919685	19cm	235	1 哲学	159	0030		00156508
BK_20299388	これは一英語学習者の反乱です。			ますこまさき|著	文芸社	2002	4835540301	19cm	227	8 言語	830	0095		00885357
BK_20299393	大雪越えて、四国遍路歩き旅			阿久津鯨六|著	文芸社	2002	4835540611	19cm	300	2 歴史	291	0095		00885344
BK_20299402	セロニアス・モンク生涯と作品			T.フィッタリング|著;後藤誠|訳	勁草書房	2002	4326851805	20cm	305	7 芸術・美術	764	0073		00885276;00213793
BK_20299496	寂聴生きいき帖			瀬戸内寂聴|著	祥伝社	2002	4396500688	18cm	315	9 文学	914	0095		00106623
BK_20299524	子どもの歯並びと噛み合わせはこうして育てる	安全で痛くない歯列矯正法がある		林晋哉，林裕之|著	都築事務所;祥伝社(発売)	2002	4396693079	20cm	238	4 自然科学	497			00719787;00719788
BK_20299534	ひとり歩きの朝			新藤兼人|著	毎日新聞社	2002	4620315737	20cm	253	9 文学	914	0095		00072205
BK_20299537	平田篤胤の神界フィールドワーク			鎌田東二|著	作品社	2002	4878934786	20cm	278	1 哲学	121	0095		00154949
BK_20299557	｢特別ニーズ教育｣｢特別支援教育｣と障害児教育			森博俊|編著;森博俊，障害をもつ子どもと教育実践研究会|編	群青社;星雲社(発売)	2002	4434021893	21cm	267	3 社会科学	378	0037		00343653;00885617
BK_20299565	投資力がつく！まるごと経済指標140			フィスコ|編	日本短波放送	2002	4860540107	21cm	271	3 社会科学	331	0033		00808513
BK_20299583	シャングリラの予言		続	立川直樹，森永博志|著	東京書籍	2002	4487797780	19cm	386	0 総記	049	0095		00083134;00153473
BK_20299619	なぜ人はジュンク堂書店に集まるのか	変わった本屋の元大番頭かく語りき		渡辺満|著	自由国民社	2002	4426765013	19cm	206	0 総記	024	0036		00886074
BK_20299624	いますぐ幸せになるアイデア70			横森理香|著	祥伝社	2002	4396410344	19cm	235	9 文学	914	0095		00254659
BK_20299680	Yosakoiソーラン祭り	街づくりNPOの経営学		坪井善明，長谷川岳|著	岩波書店	2002	4007000298	18cm	211	6 産業	601	0234		00187507;00886361
BK_20299739	群青の彼方		続	小牟禮昭憲|著	近代文芸社	2002	4773361514	20cm	83	9 文学	913	0093		00848985
BK_20299749	800			川島誠|著	角川書店	2002	4043648014	15cm	286	9 文学	913	0193		00146963
BK_20299766	異人たちの館			折原一|著	講談社	2002	4062734850	15cm	622	9 文学	913	0193		00176300
BK_20299779	天使のトラブル			デイ・ラクレア|作;真咲理央|訳	ハーレクイン	2002	4596812101	17cm	156	9 文学	933	0297		00470246
BK_20299813	ザ・ベストミステリーズ	推理小説年鑑	2002	日本推理作家協会|編	講談社	2002	4061149032	20cm	622	9 文学	913	0093		00267432
BK_20299969	トラップ一家物語			ハンス・ヴィルヘルム|作;ロニー・アレキサンダー，岩倉務|共訳;中野孝次，永井一正|監修	平和のアトリエ	2002	4938365278	27cm	88	分類なし		8798		00460934;00462144;00211127;00052510;00049628
