書誌ID	タイトル	副題	巻号	責任表示	出版者	出版年	ISBN	判型	ページ数	ジャンル1	ジャンル2	ジャンル3	ジャンル4	責任表示ID
BK_20000215	これが正しい自然塩の選び方	常識を破壊！		知念隆一，新美久始|著	報知新聞社	1998	483190127X	21cm	189	6 産業	669	0077		00195334;00732077
BK_20000563	悪魔の辞典	ビジネス版		山田英夫|著	メディアファクトリー	1998	4889916687	18cm	176	3 社会科学	336	0034		00205308
BK_20001179	鴨川の景観は守られた	"ポン・デ・ザール"勝利の記録		木村万平|著;鴨川の景観を守る連絡会|監修	かもがわ出版	1999	4876994471	21cm	159	5 技術・工学	518	0036		00190989;00757787
BK_20001348	究極のエニアグラム性格学	人の性格って、おもしろい！		竜頭万里子|著	中央アート出版社	1999	4886399363	19cm	253	1 哲学	141	0011		00758728
BK_20001363	見慣れた景色が変わるとき	｢癌告知｣18人の知恵と勇気に学ぶ		日本ペンクラブ|編	光文社	1999	4334972357	20cm	368	9 文学	914	0095		00259571
BK_20001530	読んではいけない読むなら覚悟せよ			石井竜也|著	ぴあ	1999	4892150592	19cm	221	3 社会科学	304	0095		00382375
BK_20001712	ファンの心をときめかせた世界の映画ベストセレクション			渡辺祥子|解説	近代映画社	1999	4764818973	30cm	208	7 芸術・美術	778	0074		00091000
BK_20001850	熱闘ジャングルアイランド			岡崎大五|著	青春出版社	1999	4413031571	20cm	240	2 歴史	292	0026		00652081
BK_20001857	おどろ気ももの木台湾日記			及川朋子|ほか著	毎日新聞社	1999	4620313785	19cm	207	3 社会科学	382	0095		00721444
BK_20002009	東京闇市興亡史			猪野健治|編	双葉社	1999	457515279X	18cm	382	2 歴史	210	0295		00019308
BK_20002043	天才盲導犬エマと過ごした素晴らしい日々			シーラ・ホッケン|著;甲木善久|訳	どうぶつ社	1999	4886223109	19cm	233	3 社会科学	369	0098		00443478;00759715
BK_20002053	ヤァ！ヤァ！ヤァ！ビートルズがやって来た	伝説の呼び屋・永島達司の生涯		野地秩嘉|著	幻冬舎	1999	4877283277	20cm	328	2 歴史	289	0095		00381333
BK_20002167	植物巡礼	プラント・ハンターの回想		F.キングドンーウォード|著;塚谷裕一|訳	岩波書店	1999	4003347811	15cm	356	4 自然科学	470	0126		00621628;00275544
BK_20002169	制作		下	エミール・ゾラ|作;清水正和|訳	岩波書店	1999	4003254562	15cm	371	9 文学	953	0197		00461898;00071600
BK_20002176	能楽師になった外交官			パトリック・ノートン|著;大内侯子，栩木泰|訳	中央公論新社	1999	4121014898	18cm	158	2 歴史	289	1298		00759944;00759945;00363320
BK_20002183	関根勤のやるだけマルもうけ！！			関根勤|著	双葉社	1999	4575290300	19cm	255	7 芸術・美術	783	0095		00214327
BK_20002190	ブランド	価値の創造		石井淳蔵|著	岩波書店	1999	4004306345	18cm	215	6 産業	675	0234		00116017
BK_20002401	淳和院正子			三枝和子|著	講談社	1999	406209911X	20cm	288	9 文学	913	0093		00064798
BK_20002431	人生の実りの言葉			中野孝次|著	偕成社	1999	4038082407	20cm	190	分類なし		8012		00052510
BK_20002458	未婚の母になっても	ハズバンド・ハンター3		リン・グレアム|作;槙由子|訳	ハーレクイン	1999	4833515253	17cm	156	9 文学	933	0297		00513545
BK_20002488	龍臥亭事件	長編推理小説	上	島田荘司|著	光文社	1999	4334728898	16cm	577	9 文学	913	0193		00122924
BK_20002695	からだのなかのタオ	道教の身体技法		石田秀実|著	平河出版社	1997	4892032794	20cm	271	1 哲学	166	0047		00166985
BK_20003277	ポンフェイ博士の知れば知るほど｢はてな？｣のニッポン			彭飛|著	祥伝社	1999	4396610823	20cm	218	3 社会科学	302	0081		00281078
BK_20003942	逆工場	見えてきた製造業これからの10年		吉川弘之，IM研究会|編著	日刊工業新聞社	1999	4526044326	19cm	215	5 技術・工学	509	3034		00097430;00759589
BK_20004002	山岡鉄舟の武士道			山岡鉄舟|口述;勝部真長|編	角川書店	1999	4043485018	15cm	282	1 哲学	156	0312		00094167;00028302
BK_20004052	われ万死に値す	ドキュメント竹下登		岩瀬達哉|著	新潮社	1999	4104325015	20cm	231	2 歴史	289	0095		00685074
BK_20004065	食料社会的自給のプラン	｢新農業基本法｣への対案		大嶋茂男|著	大月書店	1999	427214040X	21cm	187	6 産業	611	0033		00062611
BK_20004082	まんが介護保険に強くなる本			江島仁|著	中央経済社	1999	4502565717	21cm	222	3 社会科学	364	0036		00127754
BK_20004100	ロサンゼルスローカルズ	カリフォルニアの新しい風		阿部仁史|著	丸善	1999	4621046705	22cm	106	5 技術・工学	523	0352		00759934
BK_20004340	ミイラ解体	｢王家の谷｣造営職人長ホルエムケニシの生涯と死		ジョン・H.テーラー|著;鈴木麻穂|訳	學藝書林	1999	4875170483	19cm	147	2 歴史	242	0322		00759967;00384571
BK_20004349	女性の｢オトコ運｣は父親で決まる			岩月謙司|著	二見書房	1999	4576991671	20cm	236	3 社会科学	367	0095		00220918
BK_20004351	落ちこぼれてエベレスト	7大陸最高峰世界最年少登頂		野口健|著	集英社インターナショナル;集英社(発売)	1999	4797670088	20cm	285	2 歴史	292	0095		00759774
BK_20004355	経世会竹下学校			大下英治|著	講談社	1999	4062098873	20cm	420	9 文学	913	0095		00122637
BK_20004460	ナマコ			鶴見良行|著	みすず書房	1999	4622038196	22cm	464	2 歴史	220	1336		00086736
BK_20004666	クスリをいっさい使わないで病気を治す本			森下敬一|著	三笠書房	1999	4837918026	19cm	346	4 自然科学	498	0030		00047435
BK_20004781	裁判を変えよう	市民がつくる司法改革		大出良知，水野邦夫，村和男|編著	日本評論社	1999	4535512043	21cm	232	3 社会科学	327	3032		00328958;00760626;00760627
BK_20004820	テレビ消灯時間		3	ナンシー関|著	文藝春秋	1999	4163557105	19cm	205	6 産業	699	0095		00209242
BK_20004912	バラ	人気品種と育て方		日本ばら会|編	日本放送出版協会	1999	4140401516	21cm	175	6 産業	627	2361		00293327
BK_20004967	奇術師のパズル	長編推理小説		釣巻礼公|著	光文社	1999	4334073603	18cm	312	9 文学	913	0293		00428514
BK_20004982	フラッシュ・オーバー			樋口京輔|著	角川書店	1999	4048731823	20cm	433	9 文学	913	0093		00761039
BK_20004995	サッカー細見	’98-'99		佐山一郎|著	晶文社	1999	4794964161	19cm	308	7 芸術・美術	783	0075		00149934
BK_20005038	アンの愛の家庭			L.M.モンゴメリー|作;掛川恭子|訳	講談社	1999	4062704064	20cm	345	9 文学	933	0397		00450382;00119382
BK_20005078	消えたスクールバス		下	ザカリー・アラン・フォックス|著;川副智子|訳	角川書店	1999	4042828027	15cm	327	9 文学	933	0197		00761126;00386404
BK_20005753	江戸がのぞいた<西洋>			戸沢行夫|著	教育出版	1999	4316357603	19cm	197	2 歴史	210	0321		00219579
BK_20005755	創造のちから	｢不思議な企業｣林原の発想		牧野昇|著	エイチアンドアイ	1999	4901032046	20cm	269	5 技術・工学	570	0036		00039821
BK_20005824	横森理香の恋愛指南			横森理香|著;しりあがり寿|漫画	マガジンハウス	1999	483871078X	20cm	247	9 文学	914	0095		00254659;00184422
BK_20005930	万邦の賓客	中国歴史紀行		陳舜臣|著	集英社	1999	4087743977	20cm	292	9 文学	915	0095		00084124
BK_20006028	地下鉄100コラム			泉麻人|著	産経新聞ニュースサービス;扶桑社(発売)	1999	4594026699	19cm	309	9 文学	914	0095		00146852
BK_20006534	女性を生きるための哲学入門			松田幸子|著	夏目書房	1999	4931391559	19cm	252	1 哲学	104	1011		00157494
BK_20006540	はなしの名人	東京落語地誌		池内紀|著	角川書店	1999	4047033081	19cm	245	7 芸術・美術	779	0376		00018222
BK_20006567	侠客			池波正太郎|著	角川書店	1999	4041323185	15cm	678	9 文学	913	0193		00018182
BK_20006844	エジプト			荒俣宏|著	小学館	1999	4094031154	15cm	285	7 芸術・美術	727	0195		00003051
BK_20006879	知的財産法			田村善之|著	有斐閣	1999	4641044899	22cm	477	5 技術・工学	507	3032		00335002
BK_20007005	新・人間革命		第6巻	池田大作|著	聖教新聞社	1999	4412010287	20cm	389	9 文学	913	0093		00017720
BK_20007130	｢日本｣を超えろ			福田和也|著	文藝春秋	1999	4163556605	19cm	172	3 社会科学	304	0095		00202461
BK_20007134	ダブリンUSA	アイリッシュ・アメリカの旅		ジョセフ・オコーナー|著;茂木健|訳	東京創元社	1999	4488013880	19cm	286	9 文学	935	0098		00552512;00325215
BK_20007143	｢県民性｣交際術	出身地でわかる人付き合いのコツ		千石涼太郎|著	小学館	1999	4093851425	19cm	223	3 社会科学	361	0095		00419318
BK_20007202	社会保険・労働保険	届出書式と手続き　今スグ役立つ		中尾幸村|著	新星出版社	1999	4405100411	21cm	350	3 社会科学	364	2077		00414701
BK_20007278	バイカルチャルになれる人・なれない人	アメリカで変わる日本人		本田正文|著	丸善	1999	4621053051	18cm	188	3 社会科学	361	0230		00196088
BK_20007282	連立政権	日本の政治1993～		草野厚|著	文藝春秋	1999	4166600680	18cm	230	3 社会科学	312	0231		00131566
BK_20007415	中国・台湾・香港			中嶋嶺雄|著	PHP研究所	1999	4569608205	18cm	197	3 社会科学	312	0230		00053459
BK_20007577	報復の最終兵器			ボブ・メイヤー|著;酒井裕美|訳	二見書房	1999	4576991795	15cm	375	9 文学	933	0197		00471258;00349337
BK_20007599	盗まれた夢			アレクサンドラ・マリーニナ|著;吉岡ゆき|訳	作品社	1999	4878933321	20cm	372	9 文学	983	0097		00762102;00180185
BK_20007600	百観音殺人巡礼			樋口正洋|著	MBC21;東京経済(発売)	1999	4806406368	20cm	400	9 文学	913	0026		00762103
BK_20007791	ステルス艦カニンガム出撃			ジェイムズ・H.コッブ|著;白幡憲之|訳	文藝春秋	1999	4167218542	16cm	504	9 文学	933	0197		00762449;00535222
BK_20008285	空想から科学へ			エンゲルス|著;石田精一|訳	新日本出版社	1999	4406026460	21cm	158	3 社会科学	309	0330		00438920;00020492
BK_20008936	虹の刺客	小説・伊達騒動	上	森村誠一|著	朝日新聞社	1999	4022642106	15cm	490	9 文学	913	0193		00047302
BK_20009018	ストレスメーカーに悩まない本	苦手な人と賢くつきあう47の処方箋		鴻野日出男|著	ぱる出版	1999	4893867474	19cm	205	3 社会科学	336	0034		00211255
BK_20009031	日経大予測		2000年版	日本経済新聞社|編	日本経済新聞社	1999	4532219094	21cm	325	3 社会科学	332	0030		00257887
BK_20009142	外国人との仕事に悩んだ時読む本			賀川洋|著	PHP研究所	1999	456960854X	19cm	233	3 社会科学	336	0034		00331137
BK_20009216	ジャングルで学んだこと	ゴリラとヒトの父親修業		山極寿一|著	フレーベル館	1999	4577701782	20cm	240	4 自然科学	489	0095		00134483
BK_20009259	音のない記憶	ろうあの天才写真家井上孝治の生涯		黒岩比佐子|著	文藝春秋	1999	416355730X	20cm	286	7 芸術・美術	740	0095		00761744
BK_20009473	家庭の生成と女性の国民化			小山静子|著	勁草書房	1999	4326652268	20cm	297	3 社会科学	367	3036		00213182
BK_20009525	愛人の掟		1	梅田みか|著	角川書店	1999	4043497016	15cm	223	1 哲学	159	0195		00222571
BK_20009537	経済のニュースが面白いほどわかる本		日本経済編	細野真宏|著	中経出版	1999	4806112887	21cm	313	3 社会科学	330	2034		00326869
BK_20009720	過酷な世界の天使たち	生まれたこと・生きること・21世紀を駆ける子どもたちへ		キズメット|編	同朋舎;角川書店(発売)	1999	481042572X	28cm	176	3 社会科学	368	0036		00762286
BK_20009725	日本の国宝		3		朝日新聞社	1999	4023800120	30cm	320	7 芸術・美術	709	0570		
BK_20009729	日本の国宝		7		朝日新聞社	1999	4023800120	30cm	320	7 芸術・美術	709	0570		
BK_20009758	全予測日本		2000	高橋貞巳|監修;三菱総合研究所|著	ダイヤモンド社	1999	4478231087	21cm	298	3 社会科学	302	0033		00666470;00257989
BK_20009957	経済幻想			エマニュエル・トッド|著;平野泰朗|訳	藤原書店	1999	4894341492	20cm	389	3 社会科学	333	1030		00476212;00202365
BK_20010022	スイングジャーナル青春録		東京編	中山康樹|著	径書房	1999	4770501706	20cm	450	7 芸術・美術	764	0093		00197075
BK_20010069	燐火鎮魂	斎姫異聞		宮乃崎桜子|著	講談社	1999	4062554402	15cm	231	9 文学	913	0193		00676486
BK_20010070	キスの法則			和泉桂|著	講談社	1999	406255433X	15cm	292	9 文学	913	0193		00617492
BK_20010358	ネット資本主義の企業戦略	ついに始まったビジネス・デコンストラクション		フィリップ・エバンス，トーマス・S.ウースター|著;ボストン・コンサルティング・グループ|訳	ダイヤモンド社	1999	447837287X	20cm	355	3 社会科学	336	2034		00763053;00763054;00277366
BK_20010371	森鴎外の手紙			山崎國紀|著	大修館書店	1999	4469221503	20cm	218	9 文学	910	3091		00094693
BK_20011189	｢伽耶｣を知れば日本の古代史がわかる			高濬煥|著;池田菊敏|訳	双葉社	1999	4575152668	18cm	294	2 歴史	221	0295		00427945;00200209
BK_20011737	聖書の常識・聖書の真実	日本人は｢旧約・新約｣を誤解している		山本七平|著	講談社	1999	4062563827	16cm	373	1 哲学	193	0114		00093525
BK_20011772	失敗しない生命保険の入り方・やめ方	業界セールスの餌食にならないために		三田村京|著	中経出版	1999	4806112933	19cm	239	3 社会科学	339	2034		00415092
BK_20011782	こうして生まれた高性能電気自動車ルシオール			清水浩|著	日刊工業新聞社	1999	4526044512	19cm	303	5 技術・工学	537	3034		00117964
BK_20011784	美食術			ジェフリー・スタインガーテン|著;柴田京子|訳	文藝春秋	1999	4163557407	20cm	507	5 技術・工学	596	0098		00762146;00153909
BK_20011795	呪縛は解かれたか			産経新聞金融犯罪取材班|著	角川書店	1999	4048835947	20cm	378	3 社会科学	338	0095		00263398
BK_20011862	文化資本論	超企業・超制度革命にむけて		山本哲士|著	新曜社	1999	4788506955	20cm	276	3 社会科学	361	1036		00109325
BK_20011868	伝記児童文学のあゆみ	1891から1945年		勝尾金弥|著	ミネルヴァ書房	1999	4623030857	20cm	394	9 文学	909	3395		00028394
BK_20012249	殺ったのは誰だ？！			日本推理作家協会|編	講談社	1999	4062647605	15cm	449	9 文学	913	0193		00267432
BK_20012360	ネヌウェンラーの密室			小森健太朗|著	講談社	1999	4062647273	15cm	409	9 文学	913	0193		00369198
BK_20012363	関西国際空港殺人事件	長編推理小説		斎藤栄|著	光文社	1999	4334729096	16cm	281	9 文学	913	0193		00065221
BK_20012385	はじめてのExcel 2000クイックマスター		応用編	高作義明，遠藤陽子，半田直子|著	新星出版社	1999	4405056749	24cm	366	0 総記	007	2055		00158505;00210939;00323446
BK_20012446	お礼状・お詫び状ハンドブック	心のこもった便りを出すための心得		金平敬之助|監修	PHP研究所	1999	4569608779	18cm	207	8 言語	816	0277		00210069
BK_20012451	恋愛動物占い	相性・結婚まるわかり		動物占いプロジェクト|著	小学館	1999	4093933316	19cm	171	1 哲学	148	0076		00763848
BK_20012470	動物園ほのぼの日記	オリの中からのメッセージ		亀井一成|著	ポプラ社	1999	4591062201	22cm	182	分類なし		8095		00025329
BK_20012471	ピンチヒッター日の神さん			山脇あさ子|作;津田櫓冬|絵	草炎社	1999	4882640600	22cm	126	分類なし		8393		00129126;00120275
BK_20013754	なぜ遺伝子組換え作物は開発されたか	バイオテクノロジーの社会学		大塚善樹|著	明石書店	1999	4750312207	22cm	238	6 産業	615	0036		00763385
BK_20013889	超高周波エレクトロニクス入門			本城和彦|著	日刊工業新聞社	1999	4526044504	21cm	232	5 技術・工学	549	3054		00325165
BK_20013915	ひとり暮らし安心ノート	ひとり暮らしはさびしくない	2000年版	松原惇子|著	ユーリーグ	1999	4946491171	19cm	221	1 哲学	159	0095		00160296
BK_20013945	ワイン畑の住人たち			竹中充|著	中央公論新社	1999	4120029360	20cm	259	5 技術・工学	588	0095		00539020
BK_20013959	徳川義寛終戦日記			徳川義寛|著;御厨貴，岩井克己|監修	朝日新聞社	1999	4022572566	20cm	533	2 歴史	289	0021		00084686;00112233;00539310
BK_20013972	都市景観の20世紀	モダンとポストモダンのトータルウォッチング		エドワード・レルフ|著;高野岳彦，神谷浩夫，岩瀬寛之|訳	筑摩書房	1999	4480861106	22cm	326	5 技術・工学	518	1025		00763064;00212709;00196397;00763065
BK_20014072	企業参謀	戦略的思考とはなにか		大前研一|著	プレジデント社	1999	4833416948	20cm	406	3 社会科学	336	0034		00061068
BK_20014113	バトル・ロワイアル			高見広春|著	太田出版	1999	4872334523	18cm	666	9 文学	913	0093		00763529
BK_20014191	愛の詩人・ゲーテ	ヨーロッパ的知性の再発見		小塩節|著	日本放送出版協会	1999	4140841079	16cm	252	9 文学	940	1398		00062687
BK_20014204	北九州エコタウンを見に行く。	循環型産業都市モデル		高杉晋吾|著	ダイヤモンド社	1999	4478870853	21cm	333	5 技術・工学	509	2034		00079173
BK_20014299	スピカ	原発占拠		高嶋哲夫|著	宝島社	1999	4796616659	20cm	413	9 文学	913	0093		00123204
BK_20014309	木曽義仲		下	山田智彦|著	日本放送出版協会	1999	4140053240	20cm	397	9 文学	913	0093		00092282
BK_20014376	マンションはここを見て買え！			竹島清|著	筑摩書房	1999	4480690441	19cm	213	3 社会科学	365	0352		00389652
BK_20014401	プロケースワーカー100の心得	福祉事務所・生活保護担当員の現場でしたたかに生き抜く法		柴田純一|著	現代書館	1999	4768434134	21cm	225	3 社会科学	369	0030		00763673
BK_20014423	司馬遼太郎の風景		9	NHK｢街道をゆく｣プロジェクト|著	日本放送出版協会	1999	414080470X	22cm	203	9 文学	910	0395		00257035
BK_20014508	アプサラスリターンズ		下(羽化篇)	吉岡平|著	朝日ソノラマ	1999	4257768924	15cm	303	9 文学	913	0193		00142229
BK_20014510	核の迷路			柘植久慶|著	集英社	1999	4087471306	16cm	330	9 文学	913	0193		00156123
BK_20014514	男を探せ			小松左京|著	角川春樹事務所	1999	4894565021	16cm	508	9 文学	913	0193		00034626
BK_20015923	香港電影バラエティブック			藤木弘子，伊藤卓|編	草思社	1999	479420924X	21cm	312	7 芸術・美術	778	0074		00265425;00393513
BK_20016054	変わる妻たち	内なる声に耳傾けて		アゴ・ビュルキーフィレンツ|著;高尾浩幸|監訳;たかおまゆみ|訳	新曜社	1999	4788506963	19cm	336	3 社会科学	367	1011		00764254;00291926;00764255
BK_20016080	30年の物語			岸惠子|著	講談社	1999	4062097001	20cm	306	3 社会科学	302	0095		00031681
BK_20016083	勝負の分かれ目	メディアの生き残りに賭けた男たちの物語		下山進|著	講談社	1999	4062099624	20cm	558	0 総記	070	0095		00376433
BK_20016087	スーパー・ストラクチャー	新しい世界の見方・考え方		田中直毅|著	講談社	1999	4062089734	20cm	286	3 社会科学	319	0030		00130484
BK_20016140	｢親業｣ケースブック	子どもの心を開く聞き方と話し方	小学生編	近藤千恵|監修	大和書房	1999	4479011226	19cm	235	3 社会科学	379	0095		00035190
BK_20016196	オカルトでっかち			松尾貴史|著	朝日新聞社	1999	4022612746	15cm	313	1 哲学	147	0136		00252921
BK_20016214	ビジネス・シーンで困った時、悩んだ時に言いにくいことをズバリいう法			植西聰|著	小学館	1999	4093102562	18cm	191	3 社会科学	336	2081		00161785
BK_20016287	日本10年後への戦略	構造改革からネオモデル構築へ		石黒憲彦|著	日本経済新聞社	1999	4532147956	20cm	258	3 社会科学	332	3033		00193233
BK_20016317	近代日本人のアメリカ観	日露戦争以後を中心に		澤田次郎|著	慶應義塾大学出版会	1999	4766407660	22cm	349	3 社会科学	319	3031		00764210
BK_20016330	中世のみちと物流			藤原良章，村井章介|編	山川出版社	1999	4634520907	22cm	285	2 歴史	210	3021		00403537;00128373
BK_20016387	怪奇・伝奇時代小説選集		2	志村有弘|編	春陽堂書店	1999	4394180023	16cm	277	9 文学	913	0193		00072113
BK_20016412	日曜日の夕刊			重松清|著	毎日新聞社	1999	4620106054	20cm	397	9 文学	913	0093		00211666
BK_20016540	努力しだいで知性は磨かれる			渡部昇一|著	PHP研究所	1999	4569607713	20cm	192	1 哲学	159	0012		00091086
BK_20016863	ハリー・ポッターと賢者の石			J.K.ローリング|作;松岡佑子|訳	静山社	1999	4915512371	22cm	462	分類なし		0097		00765052;00732445
BK_20017074	ちょっと気配りするだけでクルマの寿命がどんどんのびる！！	10年乗っても新車のままの本		崎山和雄|著	三推社	1999	406179714X	19cm	211	5 技術・工学	537	9476		00534026
BK_20017726	風はアゲンスト			吉川なよ子|著	毎日新聞社	1999	4620313947	20cm	252	7 芸術・美術	783	0036		00156366
BK_20017744	縛らない看護			吉岡充，田中とも江|編著	医学書院	1999	4260330179	21cm	269	4 自然科学	492	3047		00764001;00764002
BK_20017791	2000年日本はこうなる			三和総合研究所|著	講談社	1999	4061973010	20cm	329	3 社会科学	332	0333		00257919
BK_20017854	ソニー世界制覇への戦略シナリオ			岡本広夫|著	ぱる出版	1999	4893867504	19cm	223	5 技術・工学	542	0036		00367489
BK_20017859	アドラー博士の子どもを｢自分好き｣に育てる法			星一郎|著	ごま書房	1999	4341081977	19cm	244	3 社会科学	379	0037		00339874
BK_20018023	｢日の丸・君が代｣の話			松本健一|著	PHP研究所	1999	4569608582	18cm	229	2 歴史	288	0220		00041672
BK_20018114	中国の落とし穴	危ない新超大国		正木義也|著	総合法令出版	1999	4893466313	20cm	318	3 社会科学	302	0031		00397724
BK_20018129	ブルックナー			門馬直美|著	春秋社	1999	4393931505	20cm	320	7 芸術・美術	762	0073		00046505
BK_20018151	生物を知るための生化学			池北雅彦，榎並勲，辻勉|著	丸善	1999	4621046721	21cm	198	4 自然科学	464	3043		00558127;00764803;00764804
BK_20018413	遺伝子組み換え食品を検証する	ジャーナリストの取材ノート		中村靖彦|著	日本放送出版協会	1999	4140018720	19cm	246	4 自然科学	498	1361		00263771
BK_20018426	アレの続き。			島村洋子|著	双葉社	1999	4575290319	19cm	211	9 文学	914	0095		00155841
BK_20018468	ニッポンの経営を変える会計ビッグバン			田中靖浩|著	日本経済新聞社	1999	453214793X	21cm	182	3 社会科学	336	3034		00729158
BK_20018471	知った気でいるあなたのためのセクシュアリティ入門			関修，木谷麦子|編	夏目書房	1999	4931391486	21cm	333	3 社会科学	367	1011		00539261;00206167
BK_20018524	秘神	闇の祝祭者たち　書下ろしクトゥルー・ジャパネスク・アンソロジー		朝松健|編	アスキー;アスペクト(発売)	1999	475720373X	18cm	351	9 文学	913	0293		00156506
BK_20018648	共同研究男性論			西川祐子，荻野美穂|編	人文書院	1999	4409240617	20cm	381	3 社会科学	367	3036		00055068;00179061
BK_20018762	ディフェンス			ウラジーミル・ナボコフ|著;若島正|訳	河出書房新社	1999	4309203280	20cm	278	9 文学	983	0097		00450943;00179973
BK_20018983	日本史史話		2	大口勇次郎，五味文彦|編	山川出版社	1997	4634603608	19cm	337	2 歴史	210	0220		00061009;00144611
BK_20018993	頭にやさしい雑学読本		2	竹内均|編	同文書院	1991	4810370275	19cm	229	4 自然科学	404	0036		00080200
BK_20019291	目で見るものと心で見るもの			谷川俊太郎|ほか著	草思社	1999	4794208847	20cm	238	9 文学	914	0095		00082609
BK_20019840	ヨーロッパ絵で見る歴史散歩	竹刀を絵筆に持ち換えて		福山清隆|著・画	出版研	1999	4879690740	20×22cm	78	2 歴史	293	0726		00764364
BK_20019915	なぜか｢人が集まる人｣の共通点			鴨下一郎|著	新講社	1999	4915872459	19cm	220	1 哲学	159	0095		00185710
BK_20020118	裏社員凌虐	長編悪党サラリーマン小説		南英男|著	祥伝社	1999	4396206763	18cm	232	9 文学	913	0293		00043503
BK_20020277	"正しい"エネルギー	家族で学ぶ環境読本		赤池学，永野裕紀乃，金谷年展|著	ティビーエス・ブリタニカ	1999	448499206X	21cm	126	5 技術・工学	501	0036		00274136;00765547;00381725
BK_20020295	降誕			高久眞一|著	日本基督教団出版局	1999	4818403628	21cm	62	7 芸術・美術	702	0071		00107592
BK_20020370	東南アジア現代史	世界恐慌前夜から独立闘争の時代		今川瑛一|著	亜紀書房	1999	4750599085	20cm	362	2 歴史	223	0022		00018403
BK_20020472	臨界19時間の教訓	検証ドキュメント		核事故緊急取材班，岸本康|著	小学館	2000	4094042016	15cm	251	5 技術・工学	539	0134		00031859;00259664
BK_20020481	昭和文学の風景			保昌正夫|ほか著	小学館	1999	4094601287	16cm	298	9 文学	910	0395		00013360
BK_20020582	高瀬舟			森鴎外|著	小学館	2000	4094041028	15cm	236	9 文学	913	0193		00046801
BK_20020620	白日			北方謙三|著	小学館	2000	4093873062	20cm	349	9 文学	913	0093		00121585
BK_20020719	先住民族言語のために			金子亨|著	草風館	1999	4883231097	22cm	320	8 言語	802	3080		00026446
BK_20021249	風俗の人たち			永沢光雄|著	筑摩書房	1999	448003515X	15cm	523	3 社会科学	367	0195		00418367
BK_20021365	太郎神話	岡本太郎という宇宙をめぐって		岡本敏子|編	二玄社	1999	4544020182	20cm	285	7 芸術・美術	723	0070		00539032
BK_20021380	安部先生、患者の命を蔑ろにしましたね			櫻井よしこ|著	中央公論新社	1999	4120027635	20cm	595	4 自然科学	498	0036		00153832
BK_20021507	黄門様の知恵袋			但野正弘|著	国書刊行会	1999	4336041997	19cm	175	2 歴史	289	0021		00107402
BK_20021603	育児と日本人			正高信男|著	岩波書店	1999	4000028006	19cm	191	3 社会科学	385	0037		00214964
BK_20021611	サラリーマンの落とし穴			山之内三紀子|著	毎日新聞社	1999	4620314072	19cm	269	3 社会科学	320	0036		00192521
BK_20021749	経済開発とエイズ			世界銀行|著;喜多悦子，西川潤|訳	東洋経済新報社	1999	4492221689	21cm	346	4 自然科学	493	3033		00765617;00055070;00265448
BK_20021833	昭和史の謎を追う		上	秦郁彦|著	文藝春秋	1999	4167453045	16cm	604	2 歴史	210	0121		00008657
BK_20021855	がんばれ！盲導犬ベルナ	｢ベルナおねえさん大活躍｣の巻		郡司ななえ|作;高橋貞二|画	ハート出版	1999	489295229X	22cm	140	分類なし		8093		00421755;00211769
BK_20022193	Dr.コパのまるごと風水事典	愛蔵版		小林祥晃|著	廣済堂出版	1999	4331008339	19cm	653	1 哲学	148	0239		00164880
BK_20022233	モイヤー先生とのぞいて見よう海の中	魚の行動ウオッチング		ジャック　T.モイヤー|著	海遊舎	1999	4905930049	19cm	236	4 自然科学	487	0045		00471992
BK_20022310	フランスから			高田博厚|著	講談社	1999	4061976931	16cm	310	7 芸術・美術	702	0195		00079185
BK_20022359	｢遊び心｣の経済学	あらゆるビジネスは娯楽へ進化する		マイケル・J.ウルフ|著;楡井浩一|訳	徳間書店	1999	4198611181	20cm	340	6 産業	675	0033		00794303;00794304
BK_20022435	戦う哲学者のウィーン愛憎			中島義道|著	角川書店	1999	404349601X	15cm	245	3 社会科学	302	0195		00173282
BK_20022441	銀行の知識			伊藤忠明|著	日本経済新聞社	1999	4532104556	18cm	184	3 社会科学	338	1233		00215778
BK_20022474	Quarter mo@n			中井拓志|著	角川書店	1999	4043464029	15cm	538	9 文学	913	0193		00544497
BK_20022609	おじさんだって、アジアに行きたい			荒木左地男|著	文香社	1999	4938933284	20cm	227	2 歴史	292	0095		00794345
BK_20023037	ほんじょの虫干。			本上まなみ|著	学習研究社	1999	4054010377	20cm	190	7 芸術・美術	770	0095		00741045
BK_20023859	わたし三昧	…眠れない夜のために		落合恵子|著	徳間書店	1999	4198611165	19cm	237	9 文学	914	0095		00063343
BK_20023879	あまりに残酷な拷問の世界	愛と狂気の物語		川端博|監修	青春出版社	1999	4413031695	20cm	239	3 社会科学	322	0022		00101922
BK_20024017	月と貴女に花束を		2	志村一矢|著	メディアワークス;角川書店(発売)	1999	4840213607	15cm	289	9 文学	913	0193		00737546
BK_20024168	時代が動くとき	社会の変革とNPOの可能性		山岡義典|著	ぎょうせい	1999	4324060371	19cm	204	3 社会科学	335	0036		00146281
BK_20024206	電子図書館が見えてきた			宮井均，市山俊治|著	NECクリエイティブ	1999	4872691040	19cm	117	0 総記	010	1255		00194027;00794313
BK_20024252	わかりやすいベトナム戦争	超大国を揺るがせた15年戦争の全貌		三野正洋|著	光人社	1999	4769808534	20cm	300	2 歴史	223	0095		00112257
